iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
FRO,2022,2022-12-31,34658.0,28.0,78.53,76.99,40.07,53912.0,Faroe Islands,642862.4424988871,519.3648909333729
FJI,2020,2020-12-31,46.0,2.0,,,,914963.0,Fiji,50.27525703225158,2.185880740532677
FJI,2021,2021-12-31,52944.0,697.0,71.14,65.13,,916711.0,Fiji,57754.29770123845,760.3268641916591
FJI,2022,2022-12-31,68702.0,881.0,76.53,68.89,18.31,919422.0,Fiji,74723.03251390546,958.2107019410021
FIN,2020,2020-12-31,38052.0,618.0,,,,5529543.0,Finland,6881.581353106396,111.76330485177527
FIN,2021,2021-12-31,322835.0,1836.0,77.16,73.73,20.44,5541017.0,Finland,58262.77017377857,331.3471155204902
FIN,2022,2022-12-31,1456149.0,8698.0,81.65,78.44,77.2,5556106.0,Finland,262080.85302908192,1565.4848917569248
FRA,2020,2020-12-31,2338258.0,63534.0,0.0,0.0,,67601110.0,France,34589.04742836323,939.8366387770851
FRA,2021,2021-12-31,8709926.0,124165.0,78.5,73.21,33.1,67842811.0,France,128383.91970521388,1830.1865469577904
FRA,2022,2022-12-31,37989547.0,161667.0,80.58,78.38,68.94,68184457.0,France,557158.4591485417,2371.024235039373
GUF,2020,2020-12-31,12773.0,71.0,,,,,French Guiana,,
GUF,2021,2021-12-31,47229.0,337.0,,,,,French Guiana,,
GUF,2022,2022-12-31,97776.0,413.0,,,,,French Guiana,,
PYF,2020,2020-12-31,16550.0,108.0,,,,279209.0,French Polynesia,59274.59358401771,386.8070155331669
PYF,2021,2021-12-31,46382.0,636.0,55.5,51.94,,279792.0,French Polynesia,165773.14576542572,2273.117172756905
PYF,2022,2022-12-31,77910.0,649.0,62.28,60.75,36.64,280378.0,French Polynesia,277874.86892694863,2314.732254313819
ATF,2020,,,,,,,,French Southern Territories,,
ATF,2021,,,,,,,,French Southern Territories,,
ATF,2022,,,,,,,,French Southern Territories,,
GAB,2020,2020-12-31,9497.0,64.0,,,,2322539.0,Gabon,4089.0594302183945,27.556049650834712
GAB,2021,2021-12-31,38870.0,287.0,9.2,7.25,,2376722.0,Gabon,16354.45794670138,120.75455185755844
GAB,2022,2022-12-31,48979.0,306.0,13.02,10.77,0.11,2430747.0,Gabon,20149.772888745723,125.88722725976831
GMB,2020,2020-12-31,3792.0,123.0,,,,2515733.0,Gambia,1507.3141704624456,48.89231090898756
GMB,2021,2021-12-31,10136.0,342.0,9.72,9.22,,2576010.0,Gambia,3934.7673339777407,132.7634597691779
